word,pos,translation,tag,bnc,frq,exchange
dark,,"n. 黑暗, 夜, 黄昏, 模糊\na. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的",zk gk ielts,966,857,r:darker/t:darkest
darkness,,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知",gk,2508,2649,
data,,"pl. 资料, 数据\n[计] 数据; DOS内部命令:用于显示或设定系统的日期",gk cet4 ky ielts,552,559,
database,,n. 数据库\n[计] 数据库,gk ky ielts,2072,3638,s:databases
date,,"n. 日期, 约会, 枣椰树\nvt. 约会, 定日期\nvi. 注明日期, 过时",zk gk toefl ielts,571,1201,s:dates/d:dated/i:dating/3:dates/p:dated
daughter,,n. 女儿\na. 女儿的,zk gk,871,634,s:daughters
dawn,,"n. 破晓, 黎明\nvi. 破晓",gk cet4 cet6 ky toefl ielts,4374,4004,p:dawned/3:dawns/d:dawned/i:dawning/s:dawns
day,,"n. 天, 日子, 白天, 工作日\n[医] 日(一昼夜), 昼, 白天",zk gk ielts,95,90,s:days
dead,,"a. 死的, 不活泼的, 麻木的, 熄灭的\nn. 死者\nadv. 完全地, 直接地",zk gk toefl,877,726,
deadline,,"n. 最后期限, 截止期限\n[经] 截止日期",gk ky ielts,5295,4032,s:deadlines
deaf,,a. 聋的\n[医] 聋的,zk gk cet4 ky ielts,2897,6755,r:deafer/t:deafest
deal,,"n. 交易, 协定, 数量, 买卖, 松木板\nvi. 处理, 应付, 做生意\nvt. 分配, 发牌, 给予\n[计] 发牌",zk gk cet4 cet6 ky toefl,595,674,i:dealing/d:dealt/s:deals/3:deals/p:dealt
dear,,"n. 亲爱的人\na. 亲爱的, 昂贵的, 严重的, 急迫的\ninterj. 啊\nadv. 深爱地, 高价地",zk gk,2167,3337,t:dearest/r:dearer/s:dears
death,,n. 死亡\n[医] 死亡,zk gk cet4 ky,414,417,s:deaths
debate,,"n. 辩论, 讨论\nv. 争论, 辩论",gk cet4 cet6 ky toefl gre,1210,1082,s:debates/d:debated/i:debating/p:debated/3:debates
debt,,"n. 债务, 罪过\n[经] 借款, 欠款, 债务",gk cet4 cet6 ky toefl ielts,1320,1871,s:debts
decade,,"n. 十年, 十",gk cet4 cet6 ky ielts,1539,730,s:decades
december,,n. 十二月,zk gk ielts,1060,0,
decent,,"a. 有分寸的, 得体的, 大方的",cet4 cet6 ky toefl ielts gre,3681,3878,
decide,,"v. 决定, 判决",zk gk toefl,375,456,p:decided/d:decided/i:deciding/3:decides
decision,,"n. 决定, 决心, 决断\n[计] 判定",zk gk cet4 cet6 ky ielts,381,479,s:decisions
declare,,"v. 宣布, 声明, 申报, 断言",gk cet4 cet6 ky toefl ielts,1534,1736,p:declared/d:declared/i:declaring/3:declares
decline,,"n. 衰退, 跌落, 下降\nvt. 使降低, 婉谢\nvi. 下降, 衰落, 偏斜",gk cet4 cet6 ky toefl ielts gre,2190,2000,d:declined/p:declined/i:declining/3:declines/s:declines
decorate,,v. 装饰,gk cet4 cet6 ky toefl ielts gre,3957,4327,d:decorated/p:decorated/i:decorating/3:decorates
decoration,,"n. 装饰, 装饰品",gk toefl ielts,4554,6136,s:decorations
decrease,,"n. 减少, 减少量\nv. 减少",gk cet4 cet6 ky toefl ielts,4237,3370,d:decreased/3:decreases/p:decreased/i:decreasing/s:decreases
deduce,,"vt. 推论, 演绎出\n[法] 推断, 推出, 演绎",cet4 cet6 ky ielts gre,7733,13290,d:deduced/p:deduced/i:deducing/3:deduces
deep,,"a. 深的\nadv. 深入地\nn. 深渊, 深处",zk gk,1024,975,r:deeper/t:deepest/s:deeps
deeply,,"adv. 深刻地, 在深处, 深沉地",gk,2327,2122,
deer,,n. 鹿,gk cet4 cet6 ky,6143,2911,i:deering
defeat,,"n. 败北, 失败\nvt. 击败, 使落空",gk cet4 cet6 ky toefl ielts,2560,3326,d:defeated/p:defeated/s:defeats/i:defeating/3:defeats
defence,,"n. 防卫, 防卫设备\n[经] (诉讼程序中的)辩护",gk cet4 cet6 ky ielts,788,21674,s:defences
defend,,"vt. 防护, 辩护, 防卫\n[法] 作...的辩护律师, 辩护, 为...答辩",gk cet4 cet6 ky toefl,2130,1750,i:defending/d:defended/p:defended/3:defends
definitely,,"adv. 明确无疑地, 清楚地",cet4 cet6 toefl,2589,1991,
definition,,"n. 定义, 精确度, 清晰度\n[计] 清晰度; 清晰度",cet4 cet6 ky toefl gre,1533,2110,s:definitions
degree,,"n. 程度, 度数, 学位, 度\n[医] 度, 程度",zk gk cet4 cet6 ky ielts,763,789,s:degrees
delay,,"n. 耽搁, 迟滞\nv. 耽搁, 延迟\n[计] 延迟, 延时",gk cet4 cet6 ky toefl ielts,2530,3105,d:delayed/s:delays/p:delayed/i:delaying/3:delays
delete,,vt. 删除\n[计] 删除,gk cet4 ky toefl ielts,5794,8051,d:deleted/i:deleting/3:deletes/p:deleted
deliberately,,adv. 故意地,gk cet4 cet6 toefl,2806,4592,
delicate,,"a. 细致优雅的, 微妙的, 美味的\n[医] 柔弱的",gk cet4 cet6 ky toefl ielts gre,3775,3787,
delicious,,a. 美味的,zk gk cet4 ky toefl ielts,5437,4985,
delight,,"n. 高兴, 愉快\nvt. 使高兴, 乐于\nvi. 感到高兴(或愉快、快乐)",gk cet4 cet6 ky,3393,4890,s:delights/p:delighted/i:delighting/d:delighted/3:delights
delighted,,"a. 高兴的, 快乐的",gk,2938,6609,0:delight/1:pd/p:delighted/d:delighted
deliver,,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付\n[经] 交运",gk cet4 ky ielts,1459,1288,d:delivered/i:delivering/p:delivered/3:delivers
demand,,"n. 要求, 需求, 需要\nv. 要求, 查询",gk cet4 cet6 ky gre,723,1287,s:demands/p:demanded/i:demanding/d:demanded/3:demands
demonstrate,,"vt. 示范, 证明\nvi. 示威",cet4 cet6 ky toefl ielts gre,1392,1379,d:demonstrated/3:demonstrates/p:demonstrated/i:demonstrating
dentist,,n. 牙科医生\n[医] 牙医师,zk gk cet6 ky toefl ielts,6054,6301,s:dentists
deny,,"v. 否认, 拒绝",cet4 cet6 ky toefl ielts,1258,1406,d:denied/p:denied/i:denying/3:denies
department,,"n. 部门, 系, 机关\n[医] 部, 科",gk cet4 cet6 ky ielts,447,1198,s:departments
departure,,"n. 离开, 出发, 违背, 偏离\n[经] 启运",gk cet4 cet6 ky toefl,2903,3867,s:departures
depend,,"vi. 靠, 视...而定, 信赖",zk gk cet4 cet6 ky,987,1475,3:depends/i:depending/p:depended/d:depended
deposit,,"n. 存款, 定金, 堆积物\nvt. 存放, 堆积\nvi. 沉淀",gk cet4 cet6 ky toefl ielts gre,2384,4692,s:deposits/d:deposited/p:deposited/i:depositing/3:deposits
depress,,"vt. 使沮丧, 压低, 降低, 使萧条\n[化] 推下",cet4 cet6 ky toefl ielts,9471,11421,p:depressed/3:depresses/d:depressed/i:depressing
depth,,"n. 深度, 深处, 深奥\n[计] 深度",gk cet4 cet6 ky ielts,2159,2555,s:depths
describe,,"vt. 描述, 描绘, 画",zk gk cet4 cet6 ky,398,568,d:described/p:described/3:describes/i:describing
description,,"n. 描述, 说明, 种类\n[经] 说明书(物品), 品名种类, 货物名称",gk cet4 cet6 ky ielts,1441,2171,s:descriptions
desert,,"n. 沙漠, 应得的赏罚, 功劳\na. 沙漠的, 不毛的\nvt. 放弃, 遗弃, 擅离\nvi. 逃掉",gk cet4 cet6 ky toefl ielts gre,3426,2196,d:deserted/s:deserts/p:deserted/i:deserting/3:deserts
deserve,,"vt. 该得到, 值得\nvi. 应得报答",gk cet4 cet6 ky toefl ielts,2627,2224,3:deserves/p:deserved/d:deserved/i:deserving
design,,"n. 设计, 图样, 方案, 企图\nv. 设计, 计划",gk cet4 cet6 ky toefl ielts,679,834,d:designed/s:designs/p:designed/i:designing/3:designs
desire,,"n. 欲望, 要求\nvt. 想要, 请求\nvi. 渴望",gk cet4 cet6 ky toefl ielts,1629,1551,s:desires/d:desired/p:desired/3:desires/i:desiring
desk,,"n. 书桌, 办公桌, 工作台",zk gk ielts,1862,1659,s:desks
desperate,,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的",gk cet4 cet6 ky toefl ielts gre,2935,3091,
despite,,"n. 轻视, 憎恨\nprep. 虽然, 尽管",cet4 cet6 ky,686,742,
dessert,,n. 餐后甜点,gk cet6 ky toefl,9993,4269,s:desserts
destination,,"n. 目的地, 目标, 目的\n[计] 目的文件, 目的单元",gk cet4 cet6 ky toefl ielts,4309,3883,s:destinations
destroy,,"vt. 破坏, 毁坏, 消灭",gk cet4 cet6 ky,1521,1418,d:destroyed/i:destroying/p:destroyed/3:destroys
detail,,"n. 细节, 详情\nvt. 详述, 选派\nvi. 画详图\n[计] 详细数据",cet4 cet6 ky ielts,566,997,s:details/i:detailing/d:detailed/p:detailed/3:details
detect,,"vt. 发现, 察觉, 探测\n[法] 发现, 查明, 探测",cet4 cet6 ky toefl ielts,2502,2763,d:detected/i:detecting/p:detected/3:detects
detective,,n. 侦探\na. 侦探的,gk cet6 ky toefl ielts,2906,3793,s:detectives
determination,,"n. 决心, 果断\n[化] 判定; 测定",gk cet4 cet6 toefl ielts gre,2788,3846,s:determinations
determine,,"v. 决定, 决心",gk cet4 cet6 ky toefl,845,773,d:determined/i:determining/3:determines/p:determined
develop,,"vt. 发展, 使发达, 进步, 洗印, 显影\nvi. 发展, 生长",zk gk toefl,400,484,d:developed/i:developing/p:developed/3:develops
development,,n. 发展\n[化] 展开,zk gk ielts,234,448,s:developments
device,,"n. 装置, 设计, 策略, 发明物, 设备\n[计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序",cet4 cet6 ky toefl,1825,1507,s:devices
devote,,"vt. 投入于, 献身",gk cet4 cet6 ky toefl ielts,3407,3225,p:devoted/d:devoted/i:devoting/3:devotes
diagram,,n. 图表；图解,gk cet4 cet6 ky toefl ielts gre,3855,7324,s:diagrams/d:diagrammed/i:diagramming/p:diagrammed/3:diagrams
dialogue,,n. 对话\nvi. 对话\nvt. 用对话表达,zk gk toefl ielts,3654,2794,s:dialogues
diamond,,"n. 钻石, 菱形\n[计] 菱形",gk cet4 cet6 ky,3941,4044,s:diamonds
diary,,n. 日记\n[经] 日记簿,zk gk cet4 cet6 ky ielts,2934,4334,s:diaries
dictionary,,"n. 字典, 词典\n[计] 词典",zk gk,3332,8493,s:dictionaries
die,,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望\nvt. 死\nn. 骰子, 冲模",zk gk gre,443,403,p:died/d:died/i:dying/3:dies/s:dies
diet,,"n. 日常饮食, 议会\nvt. 照规定饮食\nvi. 忌食",gk cet4 cet6 ky toefl ielts,1964,2139,s:diets/i:dieting/d:dieted/p:dieted/3:diets
differ,,"vi. 不一致, 不同\n[机] 差异, 不同",gk cet4 cet6 ky ielts,2552,2990,3:differs/p:differed/i:differing/d:differed
difference,,"n. 不同, 差异\n[计] 差分",zk gk cet4 ky ielts,528,496,s:differences
different,,"a. 不同的\n[机] 差动, 微分的, 差速器",zk gk ielts,177,237,
difficult,,a. 困难的,zk gk ielts,439,608,
difficulty,,"n. 困难, 难点",zk gk cet4 ky ielts,760,1686,s:difficulties
dig,,"vt. 挖, 翻土, 发掘\nvi. 挖掘\nn. 挖掘\n[计] 数字, 数位",zk gk,2810,2460,p:dug/i:digging/d:dug/3:digs/s:digs
digest,,"n. 文摘\nvi. 消化\nvt. 消化, 理解\n[计] 摘要",gk cet4 cet6 ky toefl ielts,7573,9447,d:digested/i:digesting/p:digested/3:digests
digital,,"a. 数字显示的, 数字的\nn. 数字仪表, 数字式电子表(或时钟)\n[计] 数字, 数字式",gk cet4 cet6 ky ielts,3598,2356,
dignity,,"n. 尊严, 高贵\n[法] 尊严, 高位, 高贵",gk cet6 ky toefl ielts gre,4745,4100,s:dignities
dilemma,,"n. 困境, (进退两难的)窘境",gk cet6 ky toefl ielts gre,4551,4118,s:dilemmas
dimension,,"n. 尺寸, 次元, 面积, 维数\nvt. 标出尺寸",gk cet4 cet6 ky toefl ielts gre,2699,2420,s:dimensions/d:dimensioned/i:dimensioning/p:dimensioned/3:dimensions
dining,,"n. 正餐, 宴会",ielts,4111,2952,i:dining/0:dining/1:i
dinner,,"n. 晚餐, 正餐, 宴会",zk gk ielts,1422,1076,s:dinners
dinosaur,,n. 恐龙,gk toefl,7298,5326,s:dinosaurs
dip,,"v. 浸, 降下, 把(手、勺等)伸入, 舀取\nn. 浸, 涉猎\n[计] 双列直插式组件, 分布式输入输出系统, 双排直插封装",gk cet4 cet6 ky ielts,4987,4532,p:dipped/i:dipping/d:dipped/s:dips/3:dips
direct,,"a. 直接的, 坦白的\nvt. 指示, 指挥, 命令, 导演\nvi. 指导, 指挥\nadv. 直接地",zk gk cet4 cet6 ky toefl ielts,960,1478,d:directed/i:directing/p:directed/3:directs
direction,,"n. 方向, 指导, 趋势\n[计] 方向; 流向",zk gk cet4 cet6 ky,910,928,s:directions
director,,"n. 主管, 导演, 董事\n[计] 寻向偶极子; 指挥仪",zk gk cet4 cet6 ky ielts,603,510,s:directors
directory,,"n. 目录, 工商名录, 指南\n[计] 目录",gk cet6 ky ielts,3680,8211,s:directories
dirt,,"n. 污垢, 泥土\n[化] 污垢",gk cet4 ky,5597,2737,
dirty,,"a. 肮脏的, 卑鄙的\nvt. 弄脏\nvi. 变脏",zk gk,2873,2869,t:dirtiest/r:dirtier/i:dirtying/p:dirtied/d:dirtied/3:dirties
disability,,"n. 无力, 无能, 残疾\n[医] 劳动能力丧失, 病废",gk,3323,2558,s:disabilities
disabled,,"a. 残废的, 有缺陷的, 失效的\n[计] 失效的",gk ielts,2671,4412,d:disabled/0:disabled/1:dp/p:disabled
disadvantage,,"n. 缺点, 不利, 坏处",gk cet4 cet6 toefl,3518,6291,s:disadvantages/d:disadvantaged/i:disadvantaging/p:disadvantaged/3:disadvantages
disagree,,"vi. 不一致, 不适宜\n[法] 抵触, 不同意, 争执",gk cet4 cet6,4677,2679,p:disagreed/3:disagrees/i:disagreeing/d:disagreed
disappear,,"vi. 消失, 不见",gk cet4 cet6 ky,1663,1578,p:disappeared/d:disappeared/3:disappears/i:disappearing
disappointed,,a. 失望的,,3371,3987,p:disappointed/0:disappointed/1:pd/d:disappointed
disappointment,,n. 失望,gk toefl,3927,4566,s:disappointments
disaster,,"n. 灾祸, 不幸, 彻底失败",gk cet4 cet6 ky toefl ielts gre,2466,2321,s:disasters
discern,,"v. 辨别, 看清楚, 了解",cet6 ky toefl ielts gre,8773,7711,d:discerned/p:discerned/3:discerns/i:discerning
discipline,,"n. 训练, 纪律\nvt. 训练, 惩罚",cet4 cet6 ky toefl ielts gre,1450,2278,s:disciplines/d:disciplined/i:disciplining/3:disciplines/p:disciplined
discount,,"n. 折扣, 贴现率\nvt. 打折扣\nvi. 贴现",gk cet4 cet6 ky toefl ielts gre,3143,4504,s:discounts/d:discounted/i:discounting/p:discounted/3:discounts
discourage,,"vt. 使气馁, 阻碍",gk cet4 cet6 ky toefl,5260,4211,d:discouraged/p:discouraged/i:discouraging/3:discourages
discover,,"vt. 发现, 找到, 暴露\nvi. 发现",zk gk cet4 cet6 ky,923,956,p:discovered/d:discovered/i:discovering/3:discovers
discovery,,"n. 发现, 被发现的事物\n[法] 要求告知, 发现, 发觉",zk gk cet4 cet6 ky ielts,2453,2227,s:discoveries
discrimination,,"n. 差别, 岐视, 辨别力\n[化] 鉴别",gk cet4 cet6 ky toefl,3592,3167,s:discriminations
discuss,,"vt. 讨论, 论述\n[医] 讨论, 辩论",zk gk,661,847,d:discussed/i:discussing/p:discussed/3:discusses
discussion,,n. 讨论,zk gk cet4 cet6 ielts,860,1041,s:discussions
disease,,"n. 疾病, 弊病\n[医] [疾]病",zk gk cet4 cet6 ky ielts,931,775,s:diseases
dish,,"n. 盘子, 碟, 菜肴\n[医] 皿, 碟",zk gk,2709,1935,s:dishes/i:dishing/d:dished/p:dished/3:dishes
disk,,"n. 圆盘, 磁盘\n[计] 磁盘",cet4 cet6,2518,3761,s:disks
dismiss,,"vt. 解散, 开除, 解职\nvi. 解散\n[计] 解散",zk gk cet4 cet6 ky toefl ielts,2100,2802,d:dismissed/p:dismissed/i:dismissing/3:dismisses
display,,"n. 显示, 陈列, 炫耀, 显示器\nvt. 陈列, 显示, 表现, 夸示\n[计] 显示器; 显示",cet4 cet6 ky toefl ielts,1683,2092,d:displayed/s:displays/i:displaying/3:displays/p:displayed
distance,,"n. 距离, 远方, 遥远\n[计] 位距",gk cet4 cet6 ky toefl ielts,1275,1235,s:distances/i:distancing/d:distanced/p:distanced/3:distances
distant,,"a. 远的, 疏远的\n[经] 远期的",gk cet4 cet6 ky toefl ielts gre,2745,2630,
distinct,,"a. 清楚的, 显著的, 不同的",cet4 cet6 ky toefl ielts gre,2609,3254,
distinction,,n. 区别,gk cet4 cet6 ky toefl ielts gre,1865,2921,s:distinctions
distinguish,,"v. 区别, 辨别",gk cet4 cet6 ky toefl ielts,2265,3246,d:distinguished/3:distinguishes/i:distinguishing/p:distinguished
distribute,,"vt. 分配, 散布, 分发\n[经] 分配, 分发",gk cet4 cet6 ky toefl ielts gre,2662,2944,d:distributed/i:distributing/3:distributes/p:distributed
distribution,,n. 分配\n[计] 分布,cet4 cet6 toefl ielts,1456,2373,s:distributions
district,,"n. 区域, 地方\n[医] 地区, 地段",gk cet4 cet6 ky toefl gre,1071,1266,s:districts/i:districting/p:districted/3:districts/d:districted
disturb,,"vt. 扰乱, 妨碍, 使不安\n[法] 滋扰, 扰乱",zk gk cet4 cet6 ky toefl ielts,3272,4565,d:disturbed/i:disturbing/p:disturbed/3:disturbs
dive,,"n. 潜水, 跳水\nvi. 跳水, 俯冲, 猛冲\nvt. 把...突然伸入",gk cet4 cet6 ky toefl,5288,5121,p:dived/i:diving/3:dives/s:dives/d:dived
diverse,,"a. 不同的, 变化多的",gk cet4 cet6 ky toefl ielts gre,4813,2813,
divide,,"vi. 分开, 分配, 分裂\nvt. 分, 分开, 分裂, 除\nn. 分配, 分水岭\n[计] 除",zk gk cet4 ky toefl,1544,1942,d:divided/i:dividing/p:divided/3:divides/s:divides
division,,"n. 分, 分开, 除法, 部门(如部、处、系等), 师\n[计] 部分",gk cet4 cet6 ky toefl,891,1849,s:divisions
divorce,,n. 离婚\nvt. 与...离婚,gk cet4 cet6 ky toefl ielts,3853,2978,d:divorced/p:divorced/s:divorces/i:divorcing/3:divorces
dizzy,,"a. 晕眩的, 眼花缭乱的\nvt. 使晕眩",gk cet6 ky toefl ielts,9951,8740,p:dizzied/r:dizzier/d:dizzied/i:dizzying/3:dizzies
do,,"v. 做, 进行, 完成",zk gk,19,18,i:doing/p:did/3:does/d:done
doctor,,"n. 医生, 博士\nvt. 授以博士学位, 诊断, 修改\nvi. 行医",zk gk ielts,665,570,s:doctors/i:doctoring/p:doctored/3:doctors/d:doctored
document,,"n. 文件, 公文, 文档\nvt. 证明, 为...引证\n[计] 文档",gk cet4 cet6 ky toefl gre,1052,1389,s:documents/d:documented/i:documenting/p:documented/3:documents
dog,,"n. 狗, 坏蛋\nvt. 跟踪, 尾随",zk gk,819,753,s:dogs/d:dogged/p:dogged/i:dogging/3:dogs
doll,,"n. 洋娃娃, 无头脑的美丽女人",zk gk ky toefl,5101,3823,s:dolls/p:dolled/d:dolled/i:dolling
dollar,,"n. 美元, 元(加、澳等国货币单位)\n[经] 纯经济的, 美元, 元",zk gk,2340,0,s:dollars
dolphin,,n. 海豚,toefl,4232,8137,s:dolphins
domain,,"n. 领域, 领土, 产业, 范围\n[计] 域, 区域, 支配命令",cet6 ky toefl ielts gre,3345,3627,s:domains
domestic,,"a. 家庭的, 国内的, 驯养的\n[医] 家庭的, 家用的",cet4 cet6 ky toefl ielts,1381,1547,s:domestics
dominate,,"v. 支配, 占优势",cet4 cet6 ky toefl ielts gre,2041,2312,d:dominated/p:dominated/3:dominates/i:dominating
donate,,v. 捐赠,cet6 ky toefl ielts gre,5660,4095,d:donated/p:donated/i:donating/3:donates
door,,n. 门,zk gk,300,343,s:doors
dormitory,,n. 宿舍,gk cet4 cet6 toefl,14248,10947,s:dormitories
dot,,"n. 点, 圆点, 小数点, 小东西, 嫁妆\nvt. 作小点记号, 加小点于\nvi. 打上点\n[计] 点",gk cet4 ky toefl ielts,4132,4480,s:dots/p:dotted/d:dotted/i:dotting/3:dots
double,,"n. 两倍\na. 两倍的, 双重的\nvt. 使加倍\nvi. 加倍, 代替, 快步走\n[计] 双精度型",zk gk ielts,1640,2202,d:doubled/i:doubling/s:doubles/p:doubled/3:doubles
doubt,,"n. 怀疑, 疑惑\nv. 怀疑, 不信",zk gk cet4 cet6 ky toefl,1183,1906,s:doubts/p:doubted/d:doubted/i:doubting/3:doubts
down,,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令",zk gk toefl gre,102,118,s:downs/i:downing/p:downed/3:downs/d:downed
download,,"[计] 卸载, 下栽",gk,27269,6382,d:downloaded/i:downloading/p:downloaded/s:downloads/3:downloads
downstairs,,n. 楼下\na. 楼下的\nadv. 在楼下,zk gk cet4 ky,4046,5467,
downtown,,n. 市中心区\na. 市中心的\nadv. 往闹市区,gk ky toefl ielts,18944,3116,r:downtowner
dozen,,"n. 打, 十二个\na. 一打的",zk gk cet4 ky,2371,1194,
draft,,"n. 气流, 草稿, 汇票, 草案\nvt. 起草, 征兵\n[计] 草稿",gk cet4 cet6 ky toefl ielts gre,2834,2624,d:drafted/i:drafting/s:drafts/p:drafted/3:drafts
drag,,"n. 拖, 拖累\nv. 拖累, 拖拉, 沉重缓慢地走, 拖动\n[计] 拖动",gk cet4 cet6 ky toefl,2538,2127,p:dragged/i:dragging/d:dragged/3:drags/s:drags
dragon,,"n. 龙, 凶暴的人\n[法] 凶恶的人, 凶恶严厉的监护人",cet4 cet6 ky,4842,5085,s:dragons
drama,,"n. 戏剧, 戏剧艺术",cet4 cet6 ky toefl ielts,2308,2631,s:dramas
dramatic,,"a. 戏剧性的, 生动的",cet4 cet6 ky toefl ielts,2242,2119,s:dramatics
draw,,"vi. 拉, 拖, 拔剑\nvt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引\nn. 拉, 拖, 拔出, 抽签, 平局\n[计] 翻牌, 绘图",zk gk toefl,429,592,d:drawn/p:drew/i:drawing/3:draws/s:draws
drawer,,"n. 抽屉, 开票人\n[计] 抽屉",zk gk cet4 cet6 ky toefl ielts,4175,4212,s:drawers
drawing,,"n. 图画, 制图, 拉\n[计] 绘图",gk cet4 cet6 ky toefl,1892,2521,0:draw/1:i/s:drawings/i:drawing
dream,,"n. 梦, 空想, 愿望\nv. 做梦, 想象, 梦想",zk gk cet4 cet6 ky,1513,990,s:dreams/i:dreaming/d:dreamed/p:dreamed/3:dreams
dress,,"n. 服装, 覆盖物\nvi. 穿着\nvt. 给...穿衣, 整理",zk gk ielts,1673,1437,d:dressed/s:dresses/i:dressing/p:dressed/3:dresses
drill,,"n. 钻孔机, 钻子, 播种机, 粗斜纹布\nv. 训练, 钻孔",gk cet4 cet6 ky toefl ielts gre,5299,4760,i:drilling/s:drills/d:drilled/p:drilled/3:drills
drink,,"n. 饮料, 酒\nv. 喝, 喝酒",zk gk,1284,1232,s:drinks/i:drinking/p:drank/d:drunk/3:drinks
drive,,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器\nvt. 开车, 驱使, 推动, 驾驶\nvi. 开车, 猛击, 飞跑\n[计] 驱动器",zk gk,640,490,p:drove/d:driven/i:driving/3:drives/s:drives
driver,,"n. 驾驶员, 驱动器, 驱动程序\n[化] 驱动器",zk gk ielts,1225,1226,s:drivers
drop,,"n. 滴, 微量, 落下, 空投\nvi. 放下, 掉下, 下降\nvt. 使滴下, 放下, 丢失, 遗漏\n[计] 投入, 投入点, 接入点, 分接点",zk gk cet4 cet6 ky ielts,925,690,p:dropped/d:dropped/i:dropping/s:drops/3:drops
drought,,"n. 干旱, 缺乏",cet4 cet6 ky toefl ielts gre,7206,5353,s:droughts
drown,,"vi. 淹死\nvt. 把...淹死, 淹没",gk cet4 cet6 ky ielts,4492,4927,d:drowned/p:drowned/i:drowning/3:drowns
drug,,"n. 药, 麻药, 麻醉药\nvi. 吸毒\nvt. 使服麻醉药, 使麻木",zk gk cet4 cet6 ky,963,461,s:drugs/d:drugged/p:drugged/i:drugging/3:drugs
drum,,"n. 鼓, 鼓声\nvi. 击鼓, 作鼓声\nvt. 打鼓奏出\n[计] 磁鼓",zk gk cet4 cet6 ky,4171,4116,s:drums/p:drummed/d:drummed/i:drumming/3:drums
drunk,,a. 喝醉了的\ndrink的过去式,gk cet4 cet6 ky,4187,3701,0:drink/1:dp/d:drunk/s:drunks/r:drunker/p:drunk
dry,,"a. 干的, 无酒的, 枯燥无味的, 干燥的\nvt. 把...弄干\nvi. 变干\nn. 干, 干涸",zk gk,1665,1561,d:dried/i:drying/p:dried/3:dries/r:drier/t:driest/s:dries
duck,,"n. 鸭子\nvi. 没入水中, 闪避\nvt. 猛按...入水, 躲避",zk gk cet4 cet6 ky,3713,3521,s:ducks/p:ducked/i:ducking/d:ducked/3:ducks
due,,"n. 应得的东西, 应付款\na. 到期的, 应得的, 应付的, 约定的",gk cet4 cet6 ky toefl ielts,1280,1796,
dull,,"a. 钝的, 无趣的, 呆滞的, 阴暗的\nvt. 使迟钝, 使阴暗, 缓和\nvi. 变迟钝, 减少",gk cet4 cet6 ky toefl ielts gre,3799,5094,r:duller/p:dulled/d:dulled/t:dullest/i:dulling/3:dulls
dumpling,,"n. 面团布丁, 团子",zk gk,22551,14302,s:dumplings
duration,,"n. 持续时间, 持续\n[计] 持续时间",cet4 cet6 ky toefl ielts gre,3698,5426,s:durations
during,,prep. 在...的时候,zk gk,192,198,
dust,,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱\nvt. 拂去灰尘, 撒, 弄成粉末\nvi. 拂去灰尘, 化为粉末",gk cet4 cet6 ky ielts,2933,2263,i:dusting/p:dusted/d:dusted/s:dusts/3:dusts
duty,,"n. 责任, 关税, 职务, 尊敬\n[化] 职责",zk gk cet4 cet6 ky ielts,846,1752,s:duties
dynamic,,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的\nn. 动力, 动态\n[计] 动态的",gk cet4 cet6 ky toefl ielts gre,4218,3978,
dynasty,,"n. 朝代, 王朝",gk ky,7797,10552,s:dynasties
each,,"a. 每个, 每一\nadv. 每个\npron. 每个, 个人, 各自",zk gk,170,192,
eager,,"a. 热心的, 渴望的, 热望的",gk cet4 cet6 ky toefl,4501,3123,
eagle,,"n. 鹰, 鹰状标饰",gk cet4 cet6 ky ielts,3850,45890,s:eagles/p:eagled/d:eagled/i:eagling/3:eagles
ear,,"n. 耳朵, 倾听, 听觉, 穗\nvi. 抽穗",zk gk,1599,1337,s:ears
early,,"a. 早的, 早熟的\nadv. 很早, 初",zk gk,245,365,r:earlier/t:earliest
earn,,"vt. 赚得, 获得, 博得\n[计] 欧州科学研究网",gk cet4 ky,1727,1305,i:earning/d:earned/p:earned/3:earns
earth,,"n. 地球, 泥土, 世界, 尘世\nvt. 埋入土中, 赶入洞内\nvi. 躲入洞内",zk gk,1026,1547,s:earths/d:earthed/i:earthing/p:earthed/3:earths
earthquake,,n. 地震,gk cet4 cet6 ky toefl,6891,4261,s:earthquakes
ease,,"n. 安乐, 安逸, 悠闲\nvt. 使安乐, 使安心, 减轻, 放松\nvi. 减轻, 放松, 灵活地移动",gk cet4 cet6 ky ielts,3093,3229,p:eased/i:easing/d:eased/3:eases
easily,,"adv. 容易地, 轻易地, 流利地",gk cet4,1004,1211,
