word,official_raw,official_level,teacher_number,pronunciation_source,pronunciation_status,pos_source,meaning_source,frequency_status,paper_hits,source_notes
era,era**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
eraser,eraser,junior,1273,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
error,error*,required,1274,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2019:（新课标Ⅰ）;2022:（全国甲卷）
erupt,erupt*,required,1275,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
escape,escape*,required,1276,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2019:（新课标Ⅱ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
especially,especially,junior,1277,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,11,2010:（新课标Ⅱ）;2012:（新课标）;2013:（新课标ii）;2014:（新课标ⅱ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2021:（解析版）
essay,essay**,selective_required,1278,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
essential,essential**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
establish,establish*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
estate,estate**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
estimate,estimate**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
europe,Europe,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,4,2010:（新课标Ⅱ）;2013:（新课标ii）;2018:（新课标Ⅰ）;2020:（新课标Ⅲ）
european,European,junior,1280,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2012:（新课标）;2013:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
evaluate,evaluate**,selective_required,1281,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2016:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
eve,eve*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
even,even,junior,1282,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,26,2010:（新课标Ⅰ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）;2022:（全国甲卷）
evening,evening,junior,1283,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,8,2010:（新课标Ⅱ）;2011:（全国卷ii）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）
event,event*,required,1284,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,14,2010:（新课标Ⅱ）;2011:（全国卷ii）;2012:（新课标）;2013:（新课标ii）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
eventually,eventually*,required,1285,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）;2022:（全国甲卷）
ever,ever,junior,1286,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,14,2012:（新课标）;2013:（新课标ii）;2014:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标ⅱ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2022:（全国甲卷）
every,every,junior,1287,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,23,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）;2022:（全国甲卷）
everybody,everybody,junior,,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,ECDICT,historical_partial_2010_2022,5,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2012:（新课标）;2018:（新课标Ⅰ）;2019:（新课标Ⅰ）
everyday,everyday,junior,1288,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2020:（新课标Ⅱ）
everyone,everyone,junior,1289,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,18,2010:（新课标Ⅱ）;2012:（新课标）;2013:（新课标ii）;2014:（新课标ⅱ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）
everything,everything,junior,1290,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,14,2010:（新课标Ⅰ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2015:（新课标Ⅰ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）
everywhere,everywhere,junior,1291,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2010:（新课标Ⅱ）;2011:（新课标）;2016:（新课标ⅲ）;2018:（新课标ⅲ）;2021:（解析版）;2022:（全国甲卷）
evidence,evidence**,selective_required,1292,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2022:（全国乙卷）
evident,,extension,1293,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2019:（新课标Ⅰ）
evolution,,extension,1294,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2014:（新课标Ⅰ）;2018:（新课标Ⅰ）;2020:（新课标Ⅲ）
exact,,extension,1295,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2014:（新课标ⅱ）;2019:（新课标Ⅲ）
exactly,exactly,junior,1296,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2011:（全国卷ii）;2015:（新课标ⅱ）;2020:（新课标Ⅲ）;2022:（全国乙卷）
exam,exam (examination),junior,1297,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2012:（新课标）;2015:（新课标ⅱ）
examine,examine**,selective_required,1298,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅰ）;2011:（全国卷ii）;2017:（新课标Ⅰ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2021:（新课标Ⅰ）;2022:（全国乙卷）
example,example,junior,1299,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,17,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（全国卷ii）;2012:（新课标）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2016:（新课标Ⅰ）;2016:（新课标ⅲ）;2017:（新课标ⅲ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅲ）
excellent,excellent,junior,1300,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2011:（全国卷ii）;2011:（新课标）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）
except,except,junior,1301,ipa-dict(en_US/CMUdict),corroborated,curated_function_words,teacher_pdf_gloss,historical_partial_2010_2022,4,2011:（新课标）;2015:（新课标Ⅰ）;2019:（新课标Ⅰ）;2021:（解析版）
exceptional,exceptional**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,1,2020:（新课标Ⅲ）
exchange,exchange*,required,1302,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2017:（新课标ⅱ）;2018:（新课标ⅲ）;2022:（全国乙卷）
excited,excited,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,9,2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2017:（新课标Ⅰ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2020:（新课标Ⅲ）;2021:（解析版）;2022:（全国甲卷）
exciting,exciting,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,10,2010:（新课标Ⅰ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标Ⅰ）;2015:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2019:（新课标Ⅱ）;2022:（全国乙卷）
excuse,excuse,junior,1304,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,4,2010:（新课标Ⅱ）;2013:（新课标ii）;2017:（新课标ⅱ）;2019:（新课标Ⅰ）
exemplify,,extension,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,0,
exercise,exercise,junior,1305,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,10,2010:（新课标Ⅰ）;2011:（全国卷ii）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2022:（全国乙卷）
exhibition,exhibition**,selective_required,1306,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅰ）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2015:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅱ）;2022:（全国乙卷）
exist,exist*,required,1307,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2010:（新课标Ⅱ）;2011:（新课标）;2014:（新课标Ⅰ）;2015:（新课标Ⅰ）;2016:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）
existence,,extension,1308,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2016:（新课标ⅲ）
exit,exit*,required,1309,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2015:（新课标Ⅰ）
expand,expand**,selective_required,1310,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2020:（新课标Ⅱ）;2022:（全国乙卷）;2022:（全国甲卷）
expansion,expansion**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,1,2015:（新课标Ⅰ）
expect,expect,junior,1311,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,16,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2022:（全国乙卷）;2022:（全国甲卷）
expectation,expectation**,selective_required,1312,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2016:（新课标ⅱ）;2021:（新课标Ⅰ）;2022:（全国甲卷）
expense,expense**,selective_required,1313,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2018:（新课标Ⅰ）;2021:（新课标Ⅰ）
expensive,expensive,junior,1314,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,10,2011:（全国卷ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2022:（全国乙卷）
experience,experience,junior,1315,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,26,2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国甲卷）
experiment,experiment*,required,1316,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,13,2010:（新课标Ⅰ）;2012:（新课标）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2022:（全国乙卷）;2022:（全国甲卷）
expert,expert*,required,1317,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,9,2014:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标ⅱ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）
explain,explain,junior,1318,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,18,2010:（新课标Ⅰ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2015:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2021:（新课标Ⅰ）;2022:（全国乙卷）;2022:（全国甲卷）
explanation,,extension,1319,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2012:（新课标）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）
explicit,,extension,1320,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,0,
explode,explode**,selective_required,1321,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2016:（新课标Ⅰ）
explore,explore*,required,1323,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,13,2014:（新课标Ⅰ）;2015:（新课标ⅱ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）;2022:（全国甲卷）
export,export*,required,1325,ipa-dict(en_US/CMUdict),corroborated,ECDICT,curated_override,historical_partial_2010_2022,0,
expose,expose**,selective_required,1326,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,7,2013:（新课标Ⅰ）;2014:（新课标ⅱ）;2018:（新课标Ⅰ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）;2022:（全国乙卷）
exposure,exposure**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
express,express,junior,1327,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,11,2010:（新课标Ⅱ）;2012:（新课标）;2014:（新课标Ⅰ）;2015:（新课标Ⅰ）;2016:（新课标Ⅰ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标ⅲ）;2019:（新课标Ⅲ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）
expression,,extension,1328,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,5,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（新课标）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）
extend,extend**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,2,2019:（新课标Ⅲ）;2020:（新课标Ⅰ）
extension,extension**,selective_required,1329,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2019:（新课标Ⅰ）;2019:（新课标Ⅲ）
extent,extent*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
external,external*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
extinction,extinction*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,1,2018:（新课标Ⅰ）
extra,extra*,required,1330,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,9,2010:（新课标Ⅱ）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2017:（新课标ⅲ）;2019:（新课标Ⅱ）;2021:（新课标Ⅰ）;2022:（全国乙卷）;2022:（全国甲卷）
extraordinary,extraordinary**,selective_required,1331,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2011:（全国卷ii）
extreme,,extension,1332,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,4,2017:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2022:（全国乙卷）
extremely,extremely*,required,1333,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,6,2013:（新课标ii）;2014:（新课标ⅱ）;2016:（新课标Ⅰ）;2017:（新课标ⅱ）;2018:（新课标ⅲ）;2021:（新课标Ⅰ）
eye,eye,junior,1334,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,13,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2015:（新课标Ⅰ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2022:（全国乙卷）;2022:（全国甲卷）
fabric,fabric**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
face,face,junior,1338,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,18,2010:（新课标Ⅰ）;2011:（全国卷ii）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2016:（新课标ⅱ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）
facilitate,facilitate**,selective_required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,0,
facility,facility*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,2,2013:（新课标ii）;2022:（全国乙卷）
fact,fact,junior,1340,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,15,2010:（新课标Ⅱ）;2011:（新课标）;2012:（新课标）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2016:（新课标ⅱ）;2017:（新课标ⅱ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2022:（全国乙卷）
factor,factor*,required,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,2,2021:（新课标Ⅰ）;2021:（解析版）
factory,factory,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,3,2010:（新课标Ⅱ）;2013:（新课标ii）;2020:（新课标Ⅱ）
fade,,extension,1342,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2019:（新课标Ⅰ）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）
fail,fail,junior,1343,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,10,2011:（全国卷ii）;2011:（新课标）;2013:（新课标Ⅰ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标ⅱ）;2017:（新课标Ⅰ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）;2021:（新课标Ⅰ）
failure,failure*,required,1344,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,3,2012:（新课标）;2019:（新课标Ⅲ）;2020:（新课标Ⅰ）
fair,fair,junior,,ipa-dict(en_US/CMUdict),corroborated,ECDICT,ECDICT,historical_partial_2010_2022,4,2017:（新课标ⅱ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2020:（新课标Ⅱ）
fairly,,extension,1346,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2011:（全国卷ii）
faith,faith**,selective_required,1348,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,2,2011:（新课标）;2014:（新课标ⅱ）
fall,fall,junior,1349,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,15,2010:（新课标Ⅰ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2016:（新课标Ⅰ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标ⅲ）;2019:（新课标Ⅰ）;2020:（新课标Ⅰ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国甲卷）
false,false**,selective_required,1351,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,1,2014:（新课标Ⅰ）
familiar,familiar*,required,1352,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,10,2010:（新课标Ⅰ）;2011:（全国卷ii）;2012:（新课标）;2016:（新课标ⅱ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2019:（新课标Ⅰ）;2019:（新课标Ⅱ）;2020:（新课标Ⅰ）;2020:（新课标Ⅱ）
family,family,junior,1353,ipa-dict(en_US/CMUdict),corroborated,ECDICT,teacher_pdf_gloss,historical_partial_2010_2022,26,2010:（新课标Ⅰ）;2010:（新课标Ⅱ）;2011:（全国卷ii）;2011:（新课标）;2012:（新课标）;2013:（新课标ii）;2013:（新课标Ⅰ）;2014:（新课标Ⅰ）;2014:（新课标ⅱ）;2015:（新课标Ⅰ）;2015:（新课标ⅱ）;2016:（新课标Ⅰ）;2016:（新课标ⅱ）;2016:（新课标ⅲ）;2017:（新课标Ⅰ）;2017:（新课标ⅲ）;2018:（新课标Ⅰ）;2018:（新课标ⅱ）;2018:（新课标ⅲ）;2019:（新课标Ⅱ）;2020:（新课标Ⅱ）;2020:（新课标Ⅲ）;2021:（新课标Ⅰ）;2021:（解析版）;2022:（全国乙卷）;2022:（全国甲卷）
